Price,Close,High,Low,Open,Volume
Ticker,AST.L,AST.L,AST.L,AST.L,AST.L
Date,,,,,
2004-11-10,1.25,1.25,1.25,1.25,0
2004-11-11,1.25,1.25,1.25,1.25,0
2004-11-12,1.25,1.25,1.25,1.25,0
2004-11-15,1.5,1.5,1.5,1.5,56000
2004-11-16,1.5,1.690000057220459,1.5,1.5,10000
2004-11-17,1.690000057220459,1.690000057220459,1.5,1.5,919758
2004-11-18,1000.0,1600.0,1000.0,1600.0,1149
2004-11-19,1400.0,1400.0,1000.0,1000.0,9106
2004-11-22,1350.0,1540.0,1000.0,1400.0,1483
2004-11-23,1200.0,1350.0,1200.0,1350.0,845
2004-11-24,1100.0,1200.0,1100.0,1200.0,383
2004-11-25,1150.0,1200.0,800.0,1150.0,425
2004-11-26,1150.0,1150.0,1150.0,1150.0,185
2004-11-29,1150.0,1150.0,1150.0,1150.0,96
2004-11-30,950.0,1150.0,950.0,1150.0,71
2004-12-01,1000.0,1000.0,800.0,950.0,112
2004-12-02,1000.0,1000.0,1000.0,1000.0,75
2004-12-03,1000.0,1000.0,1000.0,1000.0,0
2004-12-06,1000.0,1100.0,800.0,1000.0,25
2004-12-07,1000.0,1100.0,800.0,1000.0,116
2004-12-08,1000.0,1000.0,1000.0,1000.0,53
2004-12-09,1000.0,1000.0,1000.0,1000.0,169
2004-12-10,1050.0,1050.0,800.0,800.0,4480
2004-12-13,1150.0,1370.0,1000.0,1050.0,325
2004-12-14,1160.0,1160.0,1160.0,1160.0,200
2004-12-15,1000.0,1150.0,1000.0,1150.0,470
2004-12-16,950.0,1100.0,700.0,1000.0,577
2004-12-17,950.0,950.0,900.0,950.0,219
2004-12-20,1000.0,1050.0,900.0,950.0,260
2004-12-21,1000.0,1000.0,1000.0,1000.0,0
2004-12-22,1060.0,1060.0,1060.0,1060.0,123
2004-12-23,1050.0,1050.0,1050.0,1050.0,0
2004-12-24,1050.0,1050.0,1050.0,1050.0,0
2004-12-27,1020.5999755859375,1020.5999755859375,1020.5999755859375,1020.5999755859375,0
2004-12-28,1020.5999755859375,1020.5999755859375,1020.5999755859375,1020.5999755859375,0
2004-12-29,1020.5999755859375,1020.5999755859375,1020.5999755859375,1069.199951171875,0
2004-12-30,900.0,1050.0,800.0,1050.0,325
2004-12-31,900.0,900.0,900.0,900.0,0
2005-01-03,874.7999877929688,874.7999877929688,874.7999877929688,874.7999877929688,0
2005-01-04,1050.0,1100.0,825.0,950.0,414
2005-01-05,1180.0,1180.0,925.0,1050.0,529
2005-01-06,1200.0,1400.0,1200.0,1200.0,12
2005-01-07,1200.0,1200.0,1200.0,1200.0,25
2005-01-10,1300.0,1300.0,1136.0,1200.0,293
2005-01-11,1300.0,1300.0,1300.0,1300.0,0
2005-01-12,1350.0,1500.0,1200.0,1300.0,132
2005-01-13,1250.0,1350.0,900.0,1350.0,75
2005-01-14,1250.0,1250.0,1100.0,1250.0,250
2005-01-17,1260.0,1260.0,1260.0,1260.0,190
2005-01-18,1260.0,1260.0,1260.0,1260.0,82
2005-01-19,1150.0,1150.0,1100.0,1250.0,177
2005-01-20,1160.0,1160.0,1160.0,1160.0,186
2005-01-21,1160.0,1160.0,1160.0,1160.0,25
2005-01-24,1100.0,1150.0,1100.0,1150.0,438
2005-01-25,1000.0,1090.0,1000.0,1050.0,181
2005-01-26,1100.0,1100.0,1100.0,1100.0,113
2005-01-27,1100.0,1100.0,800.0,1100.0,1058
2005-01-28,900.0,1100.0,850.0,1100.0,206
2005-01-31,1000.0,1000.0,800.0,900.0,150
2005-02-01,1060.0,1060.0,1060.0,1060.0,325
2005-02-02,1100.0,1100.0,1100.0,1100.0,17
2005-02-03,1000.0,1000.0,1000.0,1000.0,17
2005-02-04,1050.0,1060.0,800.0,1050.0,154
2005-02-07,1000.0,1000.0,1000.0,1000.0,98
2005-02-08,1000.0,1000.0,1000.0,1000.0,125
2005-02-09,950.0,1000.0,700.0,1000.0,131
2005-02-10,950.0,980.0,700.0,950.0,177
2005-02-11,960.0,960.0,960.0,960.0,89
2005-02-14,960.0,960.0,960.0,960.0,75
2005-02-15,960.0,960.0,960.0,960.0,102
2005-02-16,960.0,960.0,960.0,960.0,28
2005-02-17,960.0,960.0,960.0,960.0,85
2005-02-18,950.0,980.0,800.0,950.0,127
2005-02-21,950.0,1100.0,836.0,950.0,402
2005-02-22,950.0,1100.0,836.0,950.0,0
2005-02-23,900.0,950.0,900.0,950.0,423
2005-02-24,900.0,900.0,900.0,900.0,50
2005-02-25,900.0,900.0,900.0,900.0,0
2005-02-28,960.0,960.0,960.0,960.0,50
2005-03-01,1200.0,1600.0,930.0,950.0,1372
2005-03-02,1150.0,1200.0,900.0,1200.0,1480
2005-03-03,1150.0,1200.0,1000.0,1150.0,1070
2005-03-04,1150.0,1150.0,1118.0,1150.0,848
2005-03-07,1160.0,1160.0,1160.0,1160.0,242
2005-03-08,1170.0,1170.0,1170.0,1170.0,25
2005-03-09,1150.0,1200.0,1040.0,1150.0,206
2005-03-10,1500.0,1562.0,1300.0,1400.0,2185
2005-03-11,1500.0,1500.0,1480.0,1500.0,277
2005-03-14,1400.0,1500.0,1300.0,1500.0,230
2005-03-15,1400.0,1400.0,1400.0,1400.0,101
2005-03-16,1250.0,1300.0,1150.0,1300.0,50
2005-03-17,1200.0,1250.0,1150.0,1250.0,50
2005-03-18,1200.0,1200.0,1200.0,1200.0,79
2005-03-21,1200.0,1200.0,1200.0,1200.0,12
2005-03-22,1200.0,1200.0,1200.0,1200.0,50
2005-03-23,1200.0,1200.0,1200.0,1200.0,0
2005-03-24,1250.0,1330.0,1100.0,1250.0,125
2005-03-25,1215.0,1215.0,1215.0,1215.0,0
2005-03-28,1215.0,1215.0,1215.0,1215.0,0
2005-03-29,1250.0,1330.0,1100.0,1250.0,307
2005-03-30,1215.0,1215.0,1215.0,1215.0,0
2005-03-31,1250.0,1250.0,1136.0,1250.0,85
2005-04-01,1050.0,1250.0,900.0,1250.0,782
2005-04-04,1050.0,1050.0,1050.0,1050.0,0
2005-04-05,1060.0,1060.0,1060.0,1060.0,125
2005-04-06,1050.0,1050.0,1050.0,1050.0,0
2005-04-07,1050.0,1050.0,1050.0,1050.0,0
2005-04-08,1060.0,1060.0,1060.0,1060.0,112
2005-04-11,1050.0,1050.0,1050.0,1050.0,0
2005-04-12,1050.0,1050.0,1050.0,1050.0,0
2005-04-13,1050.0,1050.0,1050.0,1050.0,0
2005-04-14,1100.0,1100.0,1040.0,1100.0,100
2005-04-15,1069.199951171875,1069.199951171875,1069.199951171875,1069.199951171875,0
2005-04-18,1069.199951171875,1069.199951171875,1069.199951171875,1069.199951171875,0
2005-04-19,1100.0,1100.0,1000.0,1100.0,10
2005-04-20,1069.199951171875,1069.199951171875,1069.199951171875,1069.199951171875,0
2005-04-21,1069.199951171875,1069.199951171875,1069.199951171875,1069.199951171875,0
2005-04-22,1100.0,1100.0,1100.0,1100.0,375
2005-04-25,1069.199951171875,1069.199951171875,1069.199951171875,1069.199951171875,0
2005-04-26,1100.0,1100.0,1050.0,1100.0,250
2005-04-27,1000.0,1100.0,850.0,1100.0,722
2005-04-28,1000.0,1000.0,1000.0,1000.0,0
2005-04-29,1000.0,1000.0,1000.0,1000.0,0
2005-05-02,972.0,972.0,972.0,972.0,0
2005-05-03,1000.0,1000.0,1000.0,1000.0,0
2005-05-04,1000.0,1000.0,1000.0,1000.0,0
2005-05-05,1000.0,1000.0,1000.0,1000.0,0
2005-05-06,1000.0,1000.0,1000.0,1000.0,0
2005-05-09,970.0,970.0,970.0,970.0,152
2005-05-10,1000.0,1000.0,1000.0,1000.0,0
2005-05-11,1000.0,1000.0,1000.0,1000.0,0
2005-05-12,1000.0,1000.0,1000.0,1000.0,0
2005-05-13,850.0,1000.0,850.0,1000.0,136
2005-05-16,900.0,1100.0,900.0,950.0,125
2005-05-17,900.0,900.0,900.0,900.0,0
2005-05-18,975.0,975.0,975.0,976.0,200
2005-05-19,950.0,950.0,950.0,950.0,0
2005-05-20,960.0,960.0,960.0,960.0,1008
2005-05-23,960.0,960.0,960.0,960.0,120
2005-05-24,960.0,960.0,960.0,960.0,40
2005-05-25,950.0,950.0,950.0,950.0,0
2005-05-26,950.0,950.0,950.0,950.0,0
2005-05-27,950.0,950.0,950.0,950.0,0
2005-05-30,923.4000244140625,923.4000244140625,923.4000244140625,923.4000244140625,0
2005-05-31,1060.0,1060.0,936.0,950.0,664
2005-06-01,1050.0,1050.0,1050.0,1050.0,0
2005-06-02,1000.0,1000.0,1000.0,1000.0,47
2005-06-03,1000.0,1000.0,972.0,1000.0,250
2005-06-06,1000.0,1000.0,1000.0,1000.0,0
2005-06-07,1000.0,1000.0,990.0,1000.0,150
2005-06-08,1000.0,1000.0,1000.0,1000.0,0
2005-06-09,1000.0,1000.0,1000.0,1000.0,0
2005-06-10,1000.0,1000.0,1000.0,1000.0,0
2005-06-13,1000.0,1000.0,1000.0,1000.0,0
2005-06-14,1000.0,1000.0,1000.0,1000.0,0
2005-06-15,1000.0,1000.0,1000.0,1000.0,0
2005-06-16,950.0,1000.0,950.0,1000.0,659
2005-06-17,1050.0,1050.0,1050.0,1050.0,0
2005-06-20,1050.0,1050.0,1050.0,1050.0,0
2005-06-21,1050.0,1050.0,1050.0,1050.0,0
2005-06-22,1060.0,1060.0,1060.0,1060.0,25
2005-06-23,1050.0,1050.0,1050.0,1050.0,0
2005-06-24,1050.0,1050.0,950.0,1050.0,100
2005-06-27,1050.0,1050.0,1050.0,1050.0,0
2005-06-28,1100.0,1100.0,900.0,1050.0,1108
2005-06-29,1100.0,1100.0,1100.0,1100.0,191
2005-06-30,1100.0,1100.0,1100.0,1100.0,90
2005-07-01,1069.199951171875,1069.199951171875,1069.199951171875,1069.199951171875,0
2005-07-04,1060.0,1100.0,1060.0,1100.0,250
2005-07-05,1050.0,1050.0,1050.0,1050.0,0
2005-07-06,950.0,950.0,950.0,950.0,0
2005-07-07,1000.0,1000.0,1000.0,1000.0,0
2005-07-08,950.0,950.0,924.0,950.0,179
2005-07-11,950.0,950.0,924.0,950.0,12
2005-07-12,950.0,950.0,950.0,950.0,0
2005-07-13,950.0,950.0,950.0,950.0,0
2005-07-14,950.0,950.0,924.0,950.0,79
2005-07-15,950.0,950.0,950.0,950.0,0
2005-07-18,960.0,960.0,960.0,960.0,3750
2005-07-19,1000.0,1050.0,924.0,1000.0,386
2005-07-20,1060.0,1100.0,1060.0,1060.0,59
2005-07-21,1000.0,1000.0,924.0,1000.0,49
