Price,Close,High,Low,Open,Volume
Ticker,BATS.L,BATS.L,BATS.L,BATS.L,BATS.L
Date,,,,,
1995-01-03,-2027.5443115234375,-2027.5443115234377,-2027.5443115234377,-2027.5443115234377,1720058
1995-01-04,-2041.538330078125,-2041.5383300781248,-2041.5383300781248,-2041.5383300781248,3425949
1995-01-05,-2050.900390625,-2050.900390625,-2050.900390625,-2050.900390625,1626261
1995-01-06,-2092.67041015625,-2092.67041015625,-2092.67041015625,-2092.67041015625,2404000
1995-01-09,-2092.67041015625,-2092.67041015625,-2092.67041015625,-2092.67041015625,4127084
1995-01-10,-2097.417236328125,-2097.417236328125,-2097.417236328125,-2097.417236328125,1895497
1995-01-11,-2088.055908203125,-2088.055908203125,-2088.055908203125,-2088.055908203125,2378376
1995-01-12,-2092.67041015625,-2092.67041015625,-2092.67041015625,-2092.67041015625,2318128
1995-01-13,-2092.67041015625,-2092.67041015625,-2092.67041015625,-2092.67041015625,2333748
1995-01-16,-2141.587646484375,-2141.587646484375,-2141.587646484375,-2141.587646484375,2556862
1995-01-17,-2125.2109375,-2125.2109375,-2125.2109375,-2125.2109375,3772405
1995-01-18,-2095.035888671875,-2095.035888671875,-2095.035888671875,-2095.035888671875,3363577
1995-01-19,-2064.87451171875,-2064.87451171875,-2064.87451171875,-2064.87451171875,1822993
1995-01-20,-2050.900390625,-2050.900390625,-2050.900390625,-2050.900390625,1307513
1995-01-23,-2008.9818115234375,-2008.9818115234377,-2008.9818115234377,-2008.9818115234377,1736739
1995-01-24,-1999.6148681640625,-1999.6148681640625,-1999.6148681640625,-1999.6148681640625,1033812
1995-01-25,-2036.9251708984375,-2036.9251708984377,-2036.9251708984377,-2036.9251708984377,3070684
1995-01-26,-2097.417236328125,-2097.417236328125,-2097.417236328125,-2097.417236328125,2787088
1995-01-27,-2090.4423828125,-2090.4423828125,-2090.4423828125,-2090.4423828125,1938785
1995-01-30,-2069.48779296875,-2069.48779296875,-2069.48779296875,-2069.48779296875,1376966
1995-01-31,-2083.462158203125,-2083.462158203125,-2083.462158203125,-2083.462158203125,1247101
1995-02-01,-2064.87451171875,-2064.87451171875,-2064.87451171875,-2064.87451171875,1917417
1995-02-02,-2088.055908203125,-2088.055908203125,-2088.055908203125,-2088.055908203125,1260398
1995-02-03,-2083.462158203125,-2083.462158203125,-2083.462158203125,-2083.462158203125,1966809
1995-02-06,-2088.055908203125,-2088.055908203125,-2088.055908203125,-2088.055908203125,803210
1995-02-07,-2102.050537109375,-2102.050537109375,-2102.050537109375,-2102.050537109375,2282261
1995-02-08,-2120.6181640625,-2120.6181640625,-2120.6181640625,-2120.6181640625,2537426
1995-02-09,-2134.57373046875,-2134.57373046875,-2134.57373046875,-2134.57373046875,2445020
1995-02-10,-2143.779541015625,-2143.779541015625,-2143.779541015625,-2143.779541015625,2784169
1995-02-13,-2111.257080078125,-2111.257080078125,-2111.257080078125,-2111.257080078125,1536092
1995-02-14,-2074.1005859375,-2074.1005859375,-2074.1005859375,-2074.1005859375,2047713
1995-02-15,-2085.674560546875,-2085.674560546875,-2085.674560546875,-2085.674560546875,1540302
1995-02-16,-2050.900390625,-2050.900390625,-2050.900390625,-2050.900390625,2132643
1995-02-17,-2008.9818115234375,-2008.9818115234377,-2008.9818115234377,-2008.9818115234377,3455823
1995-02-20,-1962.4639892578125,-1962.4639892578125,-1962.4639892578125,-1962.4639892578125,9566939
1995-02-21,-1934.5150146484375,-1934.5150146484375,-1934.5150146484375,-1934.5150146484375,2086605
1995-02-22,-1925.3082275390625,-1925.3082275390625,-1925.3082275390625,-1925.3082275390625,2850812
1995-02-23,-1981.0321044921875,-1981.0321044921875,-1981.0321044921875,-1981.0321044921875,3526251
1995-02-24,-1971.82666015625,-1971.82666015625,-1971.82666015625,-1971.82666015625,1951069
1995-02-27,-1932.28369140625,-1932.28369140625,-1932.28369140625,-1932.28369140625,1020294
1995-02-28,-1934.5150146484375,-1934.5150146484375,-1934.5150146484375,-1934.5150146484375,2073831
1995-03-01,-1981.0321044921875,-1981.0321044921875,-1981.0321044921875,-1981.0321044921875,2441902
1995-03-02,-2004.3880615234375,-2004.3880615234377,-2004.3880615234377,-2004.3880615234377,2351078
