Date,EUR
2020-01-03,1386.28
2020-01-06,1405.18
2020-01-07,1407.03
2020-01-08,1413.88
2020-01-09,1396.44
2020-01-10,1396.87
2020-01-13,1391.29
2020-01-14,1388.11
2020-01-15,1388.24
2020-01-16,1396.09
2020-01-17,1404.38
2020-01-20,1407.57
2020-01-21,1398.58
2020-01-22,1404.38
2020-01-23,1414.26
2020-01-24,1418.61
2020-01-27,1434.5
2020-01-28,1429.74
2020-01-29,1429.76
2020-01-30,1429.83
2020-01-31,1429.4
2020-02-03,1423.95
2020-02-04,1411.93
2020-02-05,1411.96
2020-02-06,1424.42
2020-02-07,1437.13
2020-02-10,1441.98
2020-02-11,1437.92
2020-02-12,1437.36
2020-02-13,1452.73
2020-02-14,1458.45
2020-02-17,1459.38
2020-02-18,1471.54
2020-02-19,1486.47
2020-02-20,1500.05
2020-02-21,1513.45
2020-02-24,1537.72
2020-02-25,1516.4
2020-02-26,1502.8
2020-02-27,1504.55
2020-02-28,1463.37
2020-03-02,1430.81
2020-03-03,1447.71
2020-03-04,1475.95
2020-03-05,1479.94
2020-03-06,1489.3
2020-03-09,1459.04
2020-03-10,1463.15
2020-03-11,1465.44
2020-03-12,1404.17
2020-03-13,1410.34
2020-03-16,1333.18
2020-03-17,1398.07
2020-03-18,1381.08
2020-03-19,1379.87
2020-03-20,1400.96
2020-03-23,1418.84
2020-03-24,1492.75
2020-03-25,1478.18
2020-03-26,1482.95
2020-03-27,1457.29
2020-03-30,1468.51
2020-03-31,1466.55
2020-04-01,1443.07
2020-04-02,1491.24
2020-04-03,1495.41
2020-04-06,1525.92
2020-04-07,1513.63
2020-04-08,1516.75
2020-04-09,1536.81
2020-04-10,1536.81
2020-04-13,1536.81
2020-04-14,1588.6
2020-04-15,1574.29
2020-04-16,1596.36
2020-04-17,1557.51
2020-04-20,1551.24
2020-04-21,1551.13
2020-04-22,1581.5
2020-04-23,1605.56
2020-04-24,1590.56
2020-04-27,1584.84
2020-04-28,1561.62
2020-04-29,1570.2
2020-04-30,1556.87
2020-05-01,1534.63
2020-05-04,1567.98
2020-05-05,1567.85
2020-05-06,1565.19
2020-05-07,1575.93
2020-05-08,1575.93
2020-05-11,1575.45
2020-05-12,1568.89
2020-05-13,1578.64
2020-05-14,1606.01
2020-05-15,1605.76
2020-05-18,1590.15
2020-05-19,1590.22
2020-05-20,1592.84
2020-05-21,1574.53
2020-05-22,1592.17
2020-05-25,1592.17
2020-05-26,1567.28
2020-05-27,1544.05
2020-05-28,1549.68
2020-05-29,1557.67
2020-06-01,1554.9
2020-06-02,1559.11
2020-06-03,1517.62
2020-06-04,1500.62
2020-06-05,1490.97
2020-06-08,1497.08
2020-06-09,1510.62
2020-06-10,1517.09
2020-06-11,1529.88
2020-06-12,1542.81
2020-06-15,1515.68
2020-06-16,1526.31
2020-06-17,1535.35
2020-06-18,1536.09
2020-06-19,1549.85
2020-06-22,1564.56
2020-06-23,1564.15
2020-06-24,1565.92
2020-06-25,1564.58
2020-06-26,1556.19
2020-06-29,1577.98
2020-06-30,1572.62
2020-07-01,1572.31
2020-07-02,1582.91
2020-07-03,1577.03
2020-07-06,1581.23
2020-07-07,1585.08
2020-07-08,1597.65
2020-07-09,1604.91
2020-07-10,1595.66
2020-07-13,1589.99
2020-07-14,1580.2
2020-07-15,1582.01
