"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"20/12/2024","24,750.0","24,850.0","26,500.0","24,750.0","4.55M","5.77%"
"19/12/2024","23,400.0","25,200.0","26,900.0","23,400.0","9.71M","-6.96%"
"18/12/2024","25,150.0","25,250.0","25,250.0","25,100.0","3.53M","-0.20%"
"17/12/2024","25,200.0","25,250.0","25,250.0","25,050.0","5.96M","0.20%"
"16/12/2024","25,150.0","25,150.0","25,250.0","25,050.0","5.19M","0.00%"
"13/12/2024","25,150.0","25,300.0","25,300.0","25,100.0","10.65M","-0.59%"
"12/12/2024","25,300.0","25,400.0","25,500.0","25,250.0","8.46M","-0.39%"
"11/12/2024","25,400.0","25,350.0","25,500.0","25,200.0","8.85M","0.20%"
"10/12/2024","25,350.0","25,500.0","25,500.0","25,350.0","6.66M","-0.59%"
"09/12/2024","25,500.0","25,600.0","25,650.0","25,350.0","9.04M","-0.58%"
"06/12/2024","25,650.0","25,500.0","25,750.0","25,500.0","10.13M","-0.19%"
"05/12/2024","25,700.0","25,000.0","25,700.0","24,950.0","8.29M","2.59%"
"04/12/2024","25,050.0","24,950.0","25,050.0","24,850.0","6.40M","0.20%"
"03/12/2024","25,000.0","25,200.0","25,200.0","24,950.0","7.87M","-0.60%"
"02/12/2024","25,150.0","25,250.0","25,350.0","25,050.0","4.70M","-0.20%"
"29/11/2024","25,200.0","25,150.0","25,200.0","25,000.0","4.55M","0.20%"
"28/11/2024","25,150.0","25,150.0","25,200.0","24,950.0","4.83M","0.40%"
"27/11/2024","25,050.0","24,950.0","25,200.0","24,950.0","4.04M","0.20%"
"26/11/2024","25,000.0","24,900.0","25,100.0","24,850.0","6.00M","0.40%"
"25/11/2024","24,900.0","24,950.0","25,000.0","24,800.0","5.96M","-0.20%"
"22/11/2024","24,950.0","24,850.0","24,950.0","24,650.0","7.84M","0.40%"
"21/11/2024","24,850.0","24,500.0","24,850.0","24,250.0","8.18M","1.43%"
"20/11/2024","24,500.0","24,200.0","24,550.0","24,150.0","9.54M","0.82%"
"19/11/2024","24,300.0","24,500.0","24,550.0","24,300.0","7.33M","-0.82%"
"18/11/2024","24,500.0","24,400.0","24,600.0","24,100.0","12.68M","0.41%"
"15/11/2024","24,400.0","24,550.0","24,600.0","24,300.0","29.65M","-0.61%"
"14/11/2024","24,550.0","24,650.0","24,850.0","24,550.0","9.12M","-1.41%"
"13/11/2024","24,900.0","24,800.0","24,900.0","24,600.0","15.07M","0.20%"
"12/11/2024","24,850.0","24,800.0","24,950.0","24,650.0","4.29M","0.00%"
"11/11/2024","24,850.0","24,900.0","25,000.0","24,650.0","7.32M","-0.20%"
"08/11/2024","24,900.0","25,100.0","25,200.0","24,750.0","8.54M","-0.80%"
