"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"20/12/2024","67,700","66,500","67,700","66,300","163.90K","1.80%"
"19/12/2024","66,500","68,800","68,800","66,100","142.60K","-1.92%"
"18/12/2024","67,800","67,800","67,800","67,200","92.60K","0.00%"
"17/12/2024","67,800","68,000","68,000","67,400","124.20K","-0.29%"
"16/12/2024","68,000","67,700","68,000","66,600","248.90K","0.44%"
"13/12/2024","67,700","67,500","67,700","66,700","145.30K","0.30%"
"12/12/2024","67,500","67,100","67,700","66,700","167.30K","0.75%"
"11/12/2024","67,000","68,000","68,000","66,800","199.20K","-1.47%"
"10/12/2024","68,000","68,000","68,200","67,300","174.60K","0.15%"
"09/12/2024","67,900","67,500","68,000","67,100","172.80K","0.89%"
"06/12/2024","67,300","67,600","68,300","67,100","189.40K","-1.03%"
"05/12/2024","68,000","65,300","68,000","65,200","321.60K","4.29%"
"04/12/2024","65,200","65,800","66,300","65,200","146.30K","-1.81%"
"03/12/2024","66,400","65,900","66,500","65,800","200.20K","-0.15%"
"02/12/2024","66,500","66,800","66,800","65,700","136.50K","0.00%"
"29/11/2024","66,500","66,100","66,500","65,500","154.20K","0.45%"
"28/11/2024","66,200","66,100","66,400","65,800","109.00K","0.15%"
"27/11/2024","66,100","65,300","66,100","65,300","108.70K","0.00%"
"26/11/2024","66,100","65,400","66,400","65,400","250.30K","0.61%"
"25/11/2024","65,700","65,800","65,800","65,000","130.00K","-0.15%"
"22/11/2024","65,800","65,000","65,800","64,800","125.30K","0.46%"
"21/11/2024","65,500","65,800","65,800","64,800","220.30K","-0.30%"
"20/11/2024","65,700","64,000","65,800","63,100","251.90K","2.66%"
"19/11/2024","64,000","67,400","67,400","64,000","295.20K","-4.48%"
"18/11/2024","67,000","66,700","67,400","65,700","410.80K","-1.47%"
"15/11/2024","68,000","68,800","68,800","67,600","234.50K","-0.87%"
"14/11/2024","68,600","67,300","68,900","67,300","761.60K","1.03%"
"13/11/2024","67,900","67,500","67,900","66,900","180.30K","0.15%"
"12/11/2024","67,800","67,500","68,000","67,100","297.60K","0.44%"
"11/11/2024","67,500","66,800","67,500","66,000","227.20K","1.35%"
"08/11/2024","66,600","67,100","67,200","66,600","247.60K","-1.19%"
"07/11/2024","67,400","67,300","67,800","67,000","246.50K","0.00%"
"06/11/2024","67,400","65,800","68,000","65,800","623.60K","2.43%"
"05/11/2024","65,800","65,800","66,000","65,200","85.70K","0.00%"
"04/11/2024","65,800","65,900","65,900","64,400","214.70K","-1.35%"
"01/11/2024","66,700","67,100","67,100","66,200","137.80K","-0.60%"
"31/10/2024","67,100","66,300","67,100","66,100","143.90K","1.05%"
"30/10/2024","66,400","66,800","67,400","66,400","203.40K","-0.60%"
"29/10/2024","66,800","65,400","66,800","65,400","163.20K","2.14%"
"28/10/2024","65,400","65,500","65,700","65,200","98.00K","-0.30%"
"25/10/2024","65,600","65,600","65,800","65,300","105.10K","-0.30%"
"24/10/2024","65,800","65,700","65,900","65,300","117.00K","0.30%"
"23/10/2024","65,600","65,000","65,900","65,000","181.80K","0.92%"
"22/10/2024","65,000","66,500","66,500","65,000","575.70K","-2.26%"
"21/10/2024","66,500","67,300","67,800","66,500","215.70K","-1.48%"
"18/10/2024","67,500","67,800","68,500","67,500","195.60K","0.00%"
"17/10/2024","67,500","68,100","68,100","67,000","241.90K","-0.44%"
"16/10/2024","67,800","68,200","68,200","67,500","226.50K","0.00%"
"15/10/2024","67,800","68,100","68,900","67,800","272.00K","-0.73%"
"14/10/2024","68,300","68,300","68,500","67,800","252.70K","0.00%"
"11/10/2024","68,300","68,500","68,500","67,700","296.40K","0.00%"
"10/10/2024","68,300","68,400","68,800","68,300","243.80K","-0.15%"
"09/10/2024","68,400","68,700","69,200","68,100","323.30K","-0.44%"
"08/10/2024","68,700","68,400","68,700","67,900","184.60K","0.44%"
"07/10/2024","68,400","68,000","68,500","67,500","309.50K","0.74%"
"04/10/2024","67,900","69,500","69,500","67,800","516.40K","-1.74%"
"03/10/2024","69,100","69,200","70,300","68,000","541.80K","-0.58%"
"02/10/2024","69,500","70,300","70,300","69,500","495.40K","-1.14%"
"01/10/2024","70,300","70,200","70,900","70,000","448.30K","0.14%"
"30/09/2024","70,200","71,300","71,300","70,000","521.60K","-1.54%"
"27/09/2024","71,300","72,000","72,000","71,200","485.70K","-0.97%"
"26/09/2024","72,000","72,500","73,500","71,900","720.40K","-0.69%"
