"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"20/12/2024","46,450.0","46,800.0","46,800.0","46,350.0","2.99M","-0.51%"
"19/12/2024","46,690.0","46,550.0","47,000.0","46,400.0","2.71M","-0.34%"
"18/12/2024","46,850.0","46,850.0","47,000.0","46,700.0","1.66M","0.54%"
"17/12/2024","46,600.0","47,000.0","47,150.0","46,600.0","2.25M","-0.32%"
"16/12/2024","46,750.0","47,000.0","47,250.0","46,700.0","3.25M","0.75%"
"13/12/2024","46,400.0","46,550.0","46,800.0","46,400.0","1.38M","-0.43%"
"12/12/2024","46,600.0","46,700.0","47,150.0","46,600.0","1.93M","0.00%"
"11/12/2024","46,600.0","46,950.0","47,000.0","46,500.0","1.29M","-0.32%"
"10/12/2024","46,750.0","46,800.0","47,350.0","46,750.0","1.94M","0.11%"
"09/12/2024","46,700.0","46,650.0","47,000.0","46,600.0","1.72M","0.21%"
"06/12/2024","46,600.0","46,400.0","46,950.0","46,400.0","2.50M","1.30%"
"05/12/2024","46,000.0","45,300.0","46,800.0","45,300.0","2.43M","1.88%"
"04/12/2024","45,150.0","46,100.0","46,150.0","45,150.0","2.40M","-1.95%"
"03/12/2024","46,050.0","46,500.0","46,500.0","46,050.0","1.40M","-0.97%"
"02/12/2024","46,500.0","46,900.0","47,100.0","46,500.0","1.31M","-0.53%"
"29/11/2024","46,750.0","46,100.0","46,750.0","45,850.0","1.44M","1.41%"
"28/11/2024","46,100.0","46,500.0","46,550.0","46,100.0","1.28M","-0.54%"
"27/11/2024","46,350.0","46,250.0","46,450.0","46,050.0","1.21M","0.22%"
"26/11/2024","46,250.0","45,500.0","46,250.0","45,500.0","1.84M","1.54%"
"25/11/2024","45,550.0","45,700.0","45,800.0","45,500.0","1.11M","-0.33%"
"22/11/2024","45,700.0","45,800.0","45,800.0","45,250.0","1.87M","0.77%"
"21/11/2024","45,350.0","45,100.0","45,650.0","45,100.0","1.47M","0.78%"
"20/11/2024","45,000.0","44,700.0","45,850.0","44,500.0","2.19M","0.90%"
"19/11/2024","44,600.0","45,200.0","45,200.0","44,600.0","1.46M","0.34%"
"18/11/2024","44,450.0","44,650.0","45,600.0","44,450.0","1.91M","-0.56%"
"15/11/2024","44,700.0","45,600.0","45,600.0","44,700.0","2.26M","-1.76%"
"14/11/2024","45,500.0","46,250.0","46,250.0","45,500.0","2.00M","-1.41%"
"13/11/2024","46,150.0","46,300.0","46,500.0","45,850.0","1.82M","-0.32%"
"12/11/2024","46,300.0","46,500.0","46,850.0","46,300.0","1.69M","-0.43%"
"11/11/2024","46,500.0","47,400.0","47,500.0","46,400.0","2.75M","-1.90%"
"08/11/2024","47,400.0","47,700.0","47,900.0","47,000.0","2.65M","-0.42%"
"07/11/2024","47,600.0","48,400.0","48,400.0","47,600.0","1.26M","-0.94%"
"06/11/2024","48,050.0","47,600.0","48,150.0","47,600.0","1.08M","1.37%"
"05/11/2024","47,400.0","47,700.0","47,900.0","47,350.0","1.53M","-0.63%"
"04/11/2024","47,700.0","47,750.0","48,200.0","47,550.0","1.34M","-0.10%"
"01/11/2024","47,750.0","48,000.0","48,100.0","47,550.0","1.54M","0.00%"
"31/10/2024","47,750.0","48,000.0","48,450.0","47,650.0","1.79M","0.10%"
"30/10/2024","47,700.0","47,650.0","48,200.0","47,650.0","1.42M","0.32%"
"29/10/2024","47,550.0","47,700.0","48,450.0","47,500.0","2.18M","0.11%"
"28/10/2024","47,500.0","47,500.0","47,750.0","47,300.0","2.23M","0.00%"
"25/10/2024","47,500.0","48,050.0","48,300.0","47,500.0","1.70M","-1.04%"
"24/10/2024","48,000.0","48,100.0","48,850.0","48,000.0","1.74M","-0.83%"
"23/10/2024","48,400.0","48,750.0","48,750.0","48,000.0","2.40M","-0.72%"
"22/10/2024","48,750.0","49,700.0","49,700.0","48,700.0","3.37M","-1.81%"
"21/10/2024","49,650.0","50,000.0","50,200.0","49,650.0","2.13M","-1.29%"
"18/10/2024","50,300.0","50,700.0","51,000.0","50,300.0","3.40M","0.00%"
"17/10/2024","50,300.0","50,200.0","50,300.0","49,550.0","2.12M","0.90%"
"16/10/2024","49,850.0","50,000.0","50,500.0","49,800.0","1.79M","-0.30%"
