"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"20/12/2024","51,200.0","49,900.0","52,800.0","48,750.0","1.32M","-2.29%"
"19/12/2024","52,400.0","52,200.0","53,300.0","51,600.0","892.80K","0.38%"
"18/12/2024","52,200.0","51,900.0","53,000.0","51,700.0","495.60K","0.19%"
"17/12/2024","52,100.0","52,200.0","53,000.0","52,100.0","538.60K","-0.38%"
"16/12/2024","52,300.0","53,000.0","53,100.0","52,200.0","468.80K","-1.69%"
"13/12/2024","53,200.0","52,700.0","54,800.0","52,200.0","1.40M","0.57%"
"12/12/2024","52,900.0","52,200.0","53,000.0","51,700.0","598.20K","1.34%"
"11/12/2024","52,200.0","53,000.0","53,000.0","51,400.0","523.10K","-0.76%"
"10/12/2024","52,600.0","51,700.0","53,400.0","51,400.0","1.12M","1.74%"
"09/12/2024","51,700.0","51,800.0","51,900.0","50,900.0","862.60K","-0.58%"
"06/12/2024","52,000.0","52,400.0","53,500.0","51,300.0","902.80K","0.19%"
"05/12/2024","51,900.0","51,400.0","53,200.0","51,400.0","1.27M","-0.19%"
"04/12/2024","52,000.0","52,000.0","53,000.0","50,900.0","1.11M","-0.19%"
"03/12/2024","52,100.0","48,600.0","52,400.0","48,600.0","1.83M","6.33%"
"02/12/2024","49,000.0","48,500.0","49,200.0","48,000.0","1.67M","3.16%"
"29/11/2024","47,500.0","44,450.0","47,500.0","44,400.0","1.96M","6.98%"
"28/11/2024","44,400.0","44,600.0","45,300.0","44,400.0","331.20K","-0.11%"
"27/11/2024","44,450.0","44,000.0","44,550.0","43,950.0","271.30K","0.45%"
"26/11/2024","44,250.0","44,750.0","44,800.0","44,250.0","217.40K","0.00%"
"25/11/2024","44,250.0","44,250.0","45,100.0","44,200.0","462.60K","0.11%"
"22/11/2024","44,200.0","44,250.0","44,300.0","43,500.0","282.30K","0.00%"
"21/11/2024","44,200.0","43,650.0","44,200.0","43,400.0","200.90K","1.38%"
"20/11/2024","43,600.0","43,150.0","43,700.0","43,100.0","196.60K","0.23%"
"19/11/2024","43,500.0","43,000.0","43,900.0","42,700.0","359.90K","-0.68%"
"18/11/2024","43,800.0","43,850.0","44,400.0","43,600.0","266.10K","-1.35%"
"15/11/2024","44,400.0","44,200.0","44,500.0","43,700.0","381.30K","0.11%"
"14/11/2024","44,350.0","45,000.0","45,200.0","44,350.0","209.00K","-1.88%"
"13/11/2024","45,200.0","45,500.0","45,500.0","44,350.0","304.30K","0.00%"
"12/11/2024","45,200.0","45,700.0","45,750.0","45,200.0","599.10K","-1.20%"
"11/11/2024","45,750.0","45,300.0","45,750.0","45,150.0","1.02M","1.33%"
"08/11/2024","45,150.0","44,150.0","45,200.0","43,900.0","792.70K","2.85%"
"07/11/2024","43,900.0","44,200.0","44,250.0","43,650.0","249.70K","-0.57%"
"06/11/2024","44,150.0","44,050.0","44,150.0","43,850.0","199.60K","0.34%"
"05/11/2024","44,000.0","43,800.0","44,100.0","43,000.0","212.10K","0.46%"
"04/11/2024","43,800.0","43,650.0","44,400.0","43,600.0","321.70K","0.46%"
"01/11/2024","43,600.0","43,000.0","43,650.0","43,000.0","306.80K","1.40%"
"31/10/2024","43,000.0","43,000.0","43,350.0","43,000.0","197.80K","0.12%"
"30/10/2024","42,950.0","43,200.0","43,300.0","42,800.0","164.90K","-0.69%"
"29/10/2024","43,250.0","43,450.0","43,450.0","43,200.0","106.40K","0.12%"
"28/10/2024","43,200.0","43,050.0","43,350.0","43,000.0","69.90K","-0.35%"
"25/10/2024","43,350.0","43,500.0","43,550.0","43,300.0","156.00K","-0.23%"
"24/10/2024","43,450.0","43,450.0","43,550.0","43,300.0","156.00K","0.35%"
"23/10/2024","43,300.0","43,200.0","43,350.0","43,100.0","228.20K","0.23%"
"22/10/2024","43,200.0","43,900.0","43,950.0","43,000.0","1.57M","-1.26%"
