"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"20/12/2024","149,200.0","150,000.0","150,000.0","148,300.0","367.80K","0.74%"
"19/12/2024","148,100.0","147,500.0","152,800.0","147,000.0","4.81M","-0.40%"
"18/12/2024","148,700.0","148,000.0","149,800.0","148,000.0","3.54M","0.47%"
"17/12/2024","148,000.0","150,100.0","150,500.0","147,700.0","7.37M","-1.27%"
"16/12/2024","149,900.0","149,600.0","150,600.0","149,500.0","5.67M","0.27%"
"13/12/2024","149,500.0","149,500.0","150,900.0","149,400.0","4.86M","-0.47%"
"12/12/2024","150,200.0","151,900.0","151,900.0","149,200.0","5.65M","-0.20%"
"11/12/2024","150,500.0","150,000.0","151,700.0","149,700.0","9.27M","0.67%"
"10/12/2024","149,500.0","147,100.0","149,500.0","147,000.0","4.29M","1.70%"
"09/12/2024","147,000.0","149,200.0","149,500.0","146,100.0","5.90M","-1.67%"
"06/12/2024","149,500.0","151,900.0","151,900.0","148,000.0","5.00M","0.67%"
"05/12/2024","148,500.0","144,000.0","148,500.0","143,600.0","8.81M","3.48%"
"04/12/2024","143,500.0","145,000.0","146,300.0","142,800.0","7.75M","-1.03%"
"03/12/2024","145,000.0","141,700.0","145,900.0","141,700.0","6.97M","1.97%"
"02/12/2024","142,200.0","144,300.0","146,000.0","141,600.0","7.94M","-1.46%"
"29/11/2024","144,300.0","139,400.0","145,400.0","139,000.0","13.49M","3.52%"
"28/11/2024","139,400.0","139,400.0","140,000.0","138,300.0","7.16M","0.36%"
"27/11/2024","138,900.0","135,200.0","139,700.0","135,200.0","13.32M","2.74%"
"26/11/2024","135,200.0","133,400.0","135,900.0","133,300.0","4.50M","0.97%"
"25/11/2024","133,900.0","134,000.0","134,000.0","133,200.0","6.64M","0.00%"
"22/11/2024","133,900.0","132,900.0","134,400.0","132,500.0","5.58M","0.68%"
"21/11/2024","133,000.0","132,400.0","133,000.0","131,000.0","4.33M","0.45%"
"20/11/2024","132,400.0","130,000.0","132,400.0","126,700.0","9.62M","1.85%"
