"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"20/12/2024","68,600.0","68,500.0","68,800.0","68,400.0","341.70K","0.15%"
"19/12/2024","68,500.0","68,200.0","68,600.0","68,100.0","721.40K","0.00%"
"18/12/2024","68,500.0","68,400.0","68,700.0","68,300.0","504.10K","0.74%"
"17/12/2024","68,000.0","68,100.0","68,500.0","68,000.0","412.90K","-0.15%"
"16/12/2024","68,100.0","68,500.0","68,600.0","68,100.0","350.10K","-0.44%"
"13/12/2024","68,400.0","68,500.0","68,600.0","68,200.0","348.00K","-0.15%"
"12/12/2024","68,500.0","68,800.0","69,000.0","68,500.0","515.00K","-0.29%"
"11/12/2024","68,700.0","69,000.0","69,200.0","68,600.0","539.00K","-0.43%"
"10/12/2024","69,000.0","69,400.0","69,600.0","69,000.0","402.50K","-0.43%"
"09/12/2024","69,300.0","69,500.0","69,500.0","69,200.0","395.90K","0.14%"
"06/12/2024","69,200.0","69,900.0","69,900.0","69,000.0","430.80K","0.44%"
"05/12/2024","68,900.0","68,700.0","69,800.0","68,500.0","630.90K","0.44%"
"04/12/2024","68,600.0","68,700.0","69,200.0","68,500.0","308.30K","-0.15%"
"03/12/2024","68,700.0","69,300.0","69,600.0","68,700.0","634.30K","-0.72%"
"02/12/2024","69,200.0","69,700.0","69,800.0","69,000.0","404.20K","-0.57%"
"29/11/2024","69,600.0","69,300.0","69,800.0","69,200.0","283.00K","0.43%"
"28/11/2024","69,300.0","69,300.0","70,000.0","69,300.0","542.90K","0.00%"
"27/11/2024","69,300.0","69,800.0","69,800.0","69,000.0","417.50K","-0.43%"
"26/11/2024","69,600.0","69,400.0","69,900.0","69,400.0","448.20K","0.43%"
"25/11/2024","69,300.0","69,400.0","70,300.0","69,300.0","901.20K","0.14%"
"22/11/2024","69,200.0","68,600.0","70,600.0","68,600.0","1.02M","1.47%"
"21/11/2024","68,200.0","67,800.0","68,600.0","67,800.0","1.17M","0.89%"
"20/11/2024","67,600.0","67,900.0","68,400.0","67,500.0","711.80K","-0.44%"
"19/11/2024","67,900.0","69,500.0","69,700.0","67,900.0","693.10K","-1.59%"
"18/11/2024","69,000.0","68,600.0","69,100.0","68,300.0","936.70K","0.58%"
"15/11/2024","68,600.0","68,900.0","69,400.0","68,600.0","774.00K","-0.58%"
"14/11/2024","69,000.0","69,200.0","70,300.0","69,000.0","543.80K","-0.72%"
"13/11/2024","69,500.0","70,000.0","70,000.0","68,000.0","827.60K","-0.43%"
"12/11/2024","69,800.0","70,100.0","70,500.0","69,800.0","425.50K","-0.43%"
"11/11/2024","70,100.0","70,100.0","70,500.0","70,000.0","544.20K","0.14%"
"08/11/2024","70,000.0","70,200.0","70,800.0","70,000.0","428.80K","-0.14%"
"07/11/2024","70,100.0","71,000.0","71,000.0","70,100.0","372.80K","0.00%"
"06/11/2024","70,100.0","70,000.0","71,100.0","69,900.0","501.50K","0.72%"
"05/11/2024","69,600.0","69,900.0","70,000.0","69,400.0","542.00K","-0.43%"
"04/11/2024","69,900.0","70,400.0","70,400.0","69,900.0","461.70K","-0.43%"
"01/11/2024","70,200.0","70,500.0","70,700.0","70,000.0","427.30K","-0.43%"
"31/10/2024","70,500.0","71,000.0","71,000.0","70,500.0","620.20K","-0.14%"
"30/10/2024","70,600.0","70,900.0","71,300.0","70,600.0","318.40K","-0.28%"
"29/10/2024","70,800.0","70,700.0","71,100.0","70,700.0","352.00K","0.14%"
"28/10/2024","70,700.0","70,900.0","71,000.0","70,700.0","311.30K","-0.28%"
"25/10/2024","70,900.0","71,000.0","71,400.0","70,900.0","322.50K","-0.14%"
"24/10/2024","71,000.0","70,900.0","71,200.0","70,900.0","413.40K","0.14%"
"23/10/2024","70,900.0","71,200.0","71,200.0","70,700.0","667.00K","-0.42%"
"22/10/2024","71,200.0","71,700.0","71,900.0","71,200.0","545.50K","-0.70%"
"21/10/2024","71,700.0","71,700.0","71,700.0","71,300.0","469.70K","0.00%"
"18/10/2024","71,700.0","71,600.0","72,300.0","71,600.0","322.52K","0.28%"
"17/10/2024","71,500.0","72,000.0","72,300.0","71,200.0","739.56K","-0.69%"
"16/10/2024","72,000.0","72,600.0","72,700.0","72,000.0","758.40K","-0.96%"
"15/10/2024","72,700.0","72,700.0","73,000.0","72,400.0","596.31K","-0.27%"
"14/10/2024","72,900.0","73,600.0","73,600.0","72,700.0","546.20K","-0.41%"
"11/10/2024","73,200.0","73,500.0","73,700.0","73,200.0","603.54K","-0.14%"
"10/10/2024","73,300.0","73,200.0","73,600.0","72,500.0","1.05M","0.83%"
"09/10/2024","72,700.0","72,600.0","72,900.0","72,300.0","547.22K","0.14%"
"08/10/2024","72,600.0","73,400.0","73,400.0","72,600.0","637.94K","-0.41%"
"07/10/2024","72,900.0","73,500.0","73,700.0","72,600.0","600.70K","-0.55%"
"04/10/2024","73,300.0","72,800.0","73,700.0","72,500.0","887.90K","1.10%"
"03/10/2024","72,500.0","73,400.0","73,400.0","72,500.0","793.34K","-0.55%"
"02/10/2024","72,900.0","73,300.0","74,000.0","72,900.0","1.08M","-0.14%"
"01/10/2024","73,000.0","73,300.0","73,700.0","73,000.0","1.07M","-0.27%"
"30/09/2024","73,200.0","73,500.0","73,600.0","73,000.0","646.91K","-0.41%"
"27/09/2024","73,500.0","74,200.0","74,300.0","73,500.0","561.00K","-0.68%"
"26/09/2024","74,000.0","73,800.0","74,600.0","73,800.0","1.11M","0.27%"
"25/09/2024","73,800.0","74,000.0","74,000.0","73,500.0","665.02K","0.14%"
"24/09/2024","73,700.0","73,000.0","73,900.0","73,000.0","853.12K","0.96%"
"23/09/2024","73,000.0","73,100.0","73,300.0","72,900.0","552.30K","-0.14%"
"20/09/2024","73,100.0","73,600.0","73,800.0","73,000.0","998.51K","-0.41%"
"19/09/2024","73,400.0","73,200.0","73,400.0","72,900.0","980.66K","0.41%"
"18/09/2024","73,100.0","73,300.0","73,500.0","72,900.0","777.62K","0.55%"
"17/09/2024","72,700.0","72,600.0","73,200.0","72,300.0","764.12K","0.14%"
"16/09/2024","72,600.0","74,000.0","74,000.0","72,600.0","","-2.29%"
"13/09/2024","74,300.0","76,100.0","76,100.0","74,200.0","2.09M","-9.35%"
"12/09/2024","81,960.8","82,156.9","82,549.0","81,764.7","1.79M","0.00%"
