"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"20/12/2024","23,400.0","23,400.0","23,600.0","23,000.0","7.03M","-0.43%"
"19/12/2024","23,500.0","22,150.0","23,800.0","22,150.0","10.11M","-1.26%"
"18/12/2024","23,800.0","23,800.0","24,000.0","23,650.0","11.67M","0.00%"
"17/12/2024","23,800.0","23,850.0","23,900.0","23,650.0","13.50M","0.21%"
"16/12/2024","23,750.0","23,650.0","23,750.0","23,500.0","9.62M","0.21%"
"13/12/2024","23,700.0","23,950.0","24,000.0","23,350.0","14.72M","-0.84%"
"12/12/2024","23,900.0","23,650.0","23,950.0","23,650.0","13.89M","1.27%"
"11/12/2024","23,600.0","23,600.0","23,700.0","23,300.0","21.15M","1.14%"
"10/12/2024","23,333.3","22,500.0","23,333.3","22,458.3","29.02M","3.70%"
"09/12/2024","22,500.0","22,416.7","22,583.3","22,250.0","16.26M","0.56%"
"06/12/2024","22,375.0","22,291.7","22,416.7","22,125.0","9.13M","0.56%"
"05/12/2024","22,250.0","21,625.0","22,250.0","21,583.3","13.96M","3.09%"
"04/12/2024","21,583.3","21,708.3","21,791.7","21,500.0","11.83M","-17.15%"
"03/12/2024","26,050.0","25,900.0","26,150.0","25,600.0","16.14M","2.56%"
"02/12/2024","25,400.0","25,400.0","25,500.0","25,250.0","7.36M","0.20%"
"29/11/2024","25,350.0","25,350.0","25,500.0","25,150.0","6.06M","0.20%"
"28/11/2024","25,300.0","25,200.0","25,550.0","24,950.0","9.45M","0.60%"
"27/11/2024","25,150.0","25,050.0","25,350.0","25,000.0","8.71M","0.40%"
"26/11/2024","25,050.0","24,700.0","25,200.0","24,650.0","10.04M","1.42%"
"25/11/2024","24,700.0","24,700.0","24,800.0","24,650.0","9.31M","0.00%"
"22/11/2024","24,700.0","24,800.0","24,900.0","24,650.0","9.65M","-0.40%"
"21/11/2024","24,800.0","24,650.0","24,800.0","24,400.0","8.10M","0.61%"
"20/11/2024","24,650.0","24,600.0","24,850.0","24,300.0","11.22M","0.00%"
"19/11/2024","24,650.0","24,600.0","24,850.0","24,450.0","17.01M","0.41%"
"18/11/2024","24,550.0","24,650.0","24,900.0","24,250.0","17.89M","-0.61%"
"15/11/2024","24,700.0","25,250.0","25,250.0","24,600.0","17.88M","-2.18%"
"14/11/2024","25,250.0","25,650.0","25,650.0","25,200.0","7.75M","-1.56%"
"13/11/2024","25,650.0","25,700.0","25,950.0","25,500.0","7.34M","-0.58%"
"12/11/2024","25,800.0","25,300.0","25,900.0","25,300.0","7.74M","0.98%"
"11/11/2024","25,550.0","26,250.0","26,250.0","25,350.0","10.76M","-2.67%"
"08/11/2024","26,250.0","26,250.0","26,250.0","25,900.0","10.17M","0.00%"
"07/11/2024","26,250.0","26,450.0","26,500.0","26,200.0","9.86M","-0.57%"
"06/11/2024","26,400.0","26,050.0","26,400.0","26,050.0","11.37M","1.34%"
"05/11/2024","26,050.0","26,000.0","26,250.0","25,900.0","5.68M","0.00%"
"04/11/2024","26,050.0","26,600.0","26,600.0","26,050.0","8.07M","-1.88%"
"01/11/2024","26,550.0","26,900.0","26,950.0","26,550.0","10.03M","-1.30%"
"31/10/2024","26,900.0","27,200.0","27,200.0","26,900.0","9.06M","-1.10%"
"30/10/2024","27,200.0","27,300.0","27,350.0","27,050.0","7.53M","-0.37%"
"29/10/2024","27,300.0","26,750.0","27,400.0","26,700.0","8.20M","2.44%"
"28/10/2024","26,650.0","26,850.0","26,900.0","26,500.0","10.41M","-0.93%"
"25/10/2024","26,900.0","26,900.0","26,900.0","26,650.0","5.78M","0.00%"
"24/10/2024","26,900.0","26,950.0","26,950.0","26,600.0","7.01M","-0.19%"
"23/10/2024","26,950.0","27,000.0","27,000.0","26,600.0","7.16M","-0.19%"
"22/10/2024","27,000.0","26,950.0","27,000.0","26,700.0","11.37M","0.19%"
"21/10/2024","26,950.0","27,000.0","27,050.0","26,850.0","7.18M","-0.19%"
"18/10/2024","27,000.0","26,700.0","27,000.0","26,650.0","10.44M","1.50%"
"17/10/2024","26,600.0","27,000.0","27,000.0","26,600.0","15.78M","-1.66%"
"16/10/2024","27,050.0","27,050.0","27,050.0","26,650.0","18.24M","-0.37%"
"15/10/2024","27,150.0","27,050.0","27,200.0","26,950.0","8.01M","0.56%"
"14/10/2024","27,000.0","27,400.0","27,450.0","27,000.0","13.34M","-1.28%"
"11/10/2024","27,350.0","27,450.0","27,450.0","27,100.0","7.40M","-0.36%"
"10/10/2024","27,450.0","27,100.0","27,550.0","27,100.0","13.51M","1.67%"
"09/10/2024","27,000.0","27,250.0","27,250.0","26,900.0","17.61M","-0.74%"
"08/10/2024","27,200.0","26,900.0","27,500.0","26,650.0","12.83M","1.30%"
