"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"20/12/2024","23,100.0","24,560.0","24,560.0","22,200.0","4.12M","-3.14%"
"19/12/2024","23,850.0","24,200.0","24,950.0","23,750.0","10.46M","-1.45%"
"18/12/2024","24,200.0","24,150.0","24,200.0","24,050.0","4.18M","0.21%"
"17/12/2024","24,150.0","24,050.0","24,200.0","24,050.0","4.17M","0.21%"
"16/12/2024","24,100.0","24,250.0","24,350.0","24,000.0","6.40M","-0.62%"
"13/12/2024","24,250.0","24,250.0","24,350.0","24,200.0","4.70M","-0.21%"
"12/12/2024","24,300.0","24,400.0","24,550.0","24,300.0","5.82M","0.00%"
"11/12/2024","24,300.0","24,250.0","24,400.0","24,100.0","6.93M","0.21%"
"10/12/2024","24,250.0","24,400.0","24,500.0","24,250.0","6.87M","-0.61%"
"09/12/2024","24,400.0","24,400.0","24,550.0","24,250.0","6.64M","0.21%"
"06/12/2024","24,350.0","24,600.0","24,600.0","24,350.0","15.92M","-0.81%"
"05/12/2024","24,550.0","23,850.0","24,600.0","23,800.0","10.68M","2.94%"
"04/12/2024","23,850.0","23,900.0","24,000.0","23,800.0","8.58M","-0.42%"
"03/12/2024","23,950.0","24,150.0","24,200.0","23,950.0","7.42M","-0.83%"
"02/12/2024","24,150.0","24,200.0","24,300.0","24,050.0","6.24M","0.00%"
"29/11/2024","24,150.0","24,050.0","24,150.0","23,950.0","6.78M","0.63%"
"28/11/2024","24,000.0","24,200.0","24,250.0","24,000.0","8.91M","-0.41%"
"27/11/2024","24,100.0","24,000.0","24,250.0","23,900.0","4.40M","0.00%"
"26/11/2024","24,100.0","24,050.0","24,200.0","24,000.0","5.37M","0.63%"
"25/11/2024","23,950.0","24,000.0","24,050.0","23,900.0","5.17M","-0.21%"
"22/11/2024","24,000.0","23,950.0","24,200.0","23,900.0","9.21M","0.00%"
"21/11/2024","24,000.0","23,600.0","24,000.0","23,400.0","6.58M","1.91%"
"20/11/2024","23,550.0","23,150.0","23,700.0","23,150.0","11.36M","1.73%"
"19/11/2024","23,150.0","23,500.0","23,600.0","23,150.0","7.87M","-1.07%"
"18/11/2024","23,400.0","23,500.0","23,650.0","23,100.0","16.34M","-0.43%"
"15/11/2024","23,500.0","23,700.0","23,800.0","23,500.0","20.07M","-1.26%"
"14/11/2024","23,800.0","24,100.0","24,100.0","23,800.0","21.18M","-1.45%"
"13/11/2024","24,150.0","24,100.0","24,250.0","23,850.0","13.91M","0.21%"
"12/11/2024","24,100.0","24,300.0","24,350.0","24,100.0","9.12M","-0.82%"
"11/11/2024","24,300.0","24,550.0","24,600.0","23,950.0","17.32M","-1.02%"
"08/11/2024","24,550.0","24,850.0","24,900.0","24,400.0","8.35M","-1.01%"
"07/11/2024","24,800.0","25,000.0","25,000.0","24,800.0","11.99M","-0.20%"
"06/11/2024","24,850.0","24,650.0","24,900.0","24,500.0","8.58M","1.64%"
